---------------- Starting Your Algo --------------------
FF deployed at [0, 13]
FF deployed at [27, 13]
FF deployed at [1, 12]
FF deployed at [26, 12]
DF deployed at [2, 11]
DF deployed at [25, 11]
DF deployed at [6, 11]
DF deployed at [21, 11]
DF deployed at [11, 11]
DF deployed at [16, 11]
FF deployed at [3, 11]
FF deployed at [24, 11]
FF deployed at [4, 11]
FF deployed at [23, 11]
FF deployed at [5, 11]
FF deployed at [22, 11]
FF deployed at [7, 11]
FF deployed at [20, 11]
FF deployed at [8, 11]
FF deployed at [19, 11]
FF deployed at [9, 11]
FF deployed at [18, 11]
FF deployed at [10, 11]
FF deployed at [17, 11]
FF deployed at [12, 11]
FF deployed at [15, 11]
DF deployed at [21, 11]
FF deployed at [20, 11]
FF deployed at [19, 11]
FF deployed at [15, 11]
FF deployed at [20, 11]
FF deployed at [18, 11]
FF deployed at [20, 11]
DF deployed at [21, 11]
FF deployed at [20, 11]
FF deployed at [15, 11]
FF deployed at [20, 11]
FF deployed at [20, 11]
DF deployed at [21, 11]
FF deployed at [19, 11]
FF deployed at [20, 11]
